項番,基準,分類,重要度,ID,タイトル,関連,解説／対応方針,本番,開発,本番,開発
1,AWS,IAM,重要,IAM.4,IAM ルートユーザーアクセスキーは存在してはなりません,IAM.4,①リスク,強く推奨,強く推奨,強く推奨,強く推奨
2,AWS,RDS,重要,RDS.2,RDS DB インスタンスはパブリックアクセスを禁止する必要があります。PubliclyAccessible 設定によって決まります。,,【①リスク】,強く推奨,強く推奨,推奨,推奨
